title,code,in_stock,category,rating,original_price,discount_price,characteristics,description,comments
Виноград сушений 150г Своя лінія кишмиш Золотистий,104677,yes,gorikhi-sukhofrukti,0,30.70,,"{'Країна': 'Україна', 'Торгова марка': 'Своя Лінія'}","Солодкий і смачний східний гість вже чекає на полицях в АТБ. Сушений кишмиш в прозорій упаковці, щоб ви могли краще розглянути весь вміст перед покупкою. Ізюм кишмиш великий, м'ясистий, без кісточок всередині. Дуже соковитий і м'який. Якщо замочити на кілька хвилин в окропі, то нагадує за смаком свіжий виноград кишмиш. Його дуже добре їсти як швидкий і поживний перекус на роботі. Також можна додавати у випічку.",
Банан 1 гат,29,yes,frukti-yagodi,0,64.95,,"{'Країна': 'Еквадор', 'Торгова марка': 'Эквадор'}",,
Мандарини 1гат,1077,yes,frukti-yagodi,0,64.95,59.95,"{'Країна': 'Туреччина', 'Торгова марка': 'Туреччина'}",,
Хурма Персимона 1 гат,29046,yes,frukti-yagodi,5,95.95,,{'Торгова марка': 'Іспанія'},,"[{'date': '12.січ.2022', 'name': 'Ігор', 'rating': '5', 'text': 'Качественный товар'}]"
Капуста 1 гат,16031,yes,ovochi,0,12.55,10.79,"{'Країна': 'Україна', 'Торгова марка': 'Україна'}",,
Яблуко Гала 1 гат,40330,yes,frukti-yagodi,0,12.95,,{'Торгова марка': 'Україна'},,
Яблуко Сортове 1 гат.,73600,yes,frukti-yagodi,0,11.95,,"{'Країна': 'Україна', 'Торгова марка': 'Україна'}",,
Асорті 125г Своя Лінія фруктово-горіхов,110397,yes,gorikhi-sukhofrukti,0,50.80,42.90,"{'Країна': 'Україна', 'Торгова марка': 'Своя Лінія'}","Корисне фруктово-горіхове асорті, від якого неможливо відірватися. Яскраво-зелена пачка привабливо стоїть на полиці, очікуючи, що саме ви схопите її. В упаковці багато горіхів і сухофруктів: кешью, лісовий горіх, арахіс, мигдаль, зовнішній вигляд яких ви зможете оцінити крізь прозоре віконце. Горішки здатні добре вгамувати голод і можуть стати відмінним перекусом між основними прийомами їжі. Їх зручно брати з собою на роботу або навчання. Вони здорово запускають роботу мозку та знімають втому.",
"Фруктові чипси 40 г Frutex Апельчипси з сушених апельсинів, Яблочипси з сушених яблук",160565,yes,gorikhi-sukhofrukti,0,42.60,36.90,"{'Країна': 'Україна', 'Торгова марка': 'Frutex'}",,
Часник імпорт 1 гат,2144,yes,ovochi,0,99.95,,"{'Країна': 'Китай', 'Торгова марка': 'Китай'}",,
